RN BREAKDOWN	Total: Pts	Won---%	Aces---%	Unret---%	FcdE---%	<=3W---%	1stIn	DF
Deuce Court	77	44 (57%)	2 (3%)	1 (1%)	12 (16%)	16 (21%)	51 (66%)	2 (3%)
Ad Court	74	48 (65%)	2 (3%)	1 (1%)	16 (22%)	26 (35%)	59 (80%)	1 (1%)
Wide serves	56	41 (73%)	2 (4%)	0 (0%)	15 (27%)	21 (38%)	39 (70%)	0 (0%)
Body serves	47	23 (49%)	0 (0%)	0 (0%)	9 (19%)	11 (23%)	38 (81%)	0 (0%)
T serves	48	28 (58%)	2 (4%)	2 (4%)	4 (8%)	10 (21%)	33 (69%)	3 (6%)
Deuce-Wide	14	9 (64%)	2 (14%)	0 (0%)	3 (21%)	5 (36%)	7 (50%)	0 (0%)
Ad-Wide	42	32 (76%)	0 (0%)	0 (0%)	12 (29%)	16 (38%)	32 (76%)	0 (0%)
Deuce-Body	26	13 (50%)	0 (0%)	0 (0%)	5 (19%)	5 (19%)	20 (77%)	0 (0%)
Ad-Body	21	10 (48%)	0 (0%)	0 (0%)	4 (19%)	6 (29%)	18 (86%)	0 (0%)
Deuce-T	37	22 (59%)	0 (0%)	1 (3%)	4 (11%)	6 (16%)	24 (65%)	2 (5%)
Ad-T	11	6 (55%)	2 (18%)	1 (9%)	0 (0%)	4 (36%)	9 (82%)	1 (9%)
